CHROM	START	END	Bias
chr1	1000001	1500000	0.4492928000260064
chr1	1500001	2000000	0.4630453696598391
chr1	2000001	2500000	0.5017014697732499
chr1	2500001	3000000	0.5181487693846394
chr1	3000001	3500000	0.3681177128341136
chr1	3500001	4000000	0.9090553804796612
chr1	4000001	4500000	1.013245251258042
chr1	4500001	5000000	1.082332275271499
chr1	5000001	5500000	0.9490912524870115
chr1	5500001	6000000	0.6233047251405469
chr1	6000001	6500000	0.7251593229509399
chr1	6500001	7000000	1.0701869914284148
chr1	7000001	7500000	0.7786773181689499
chr1	7500001	8000000	0.8718203022042691
chr1	8000001	8500000	0.940165939709531
chr1	8500001	9000000	0.7420134710247824
chr1	9000001	9500000	0.6843553322292504
chr1	9500001	10000000	0.8208425614393036
chr1	10000001	10500000	0.7583467020009349
chr1	10500001	11000000	0.7785281888574782
chr1	11000001	11500000	0.7581467019015508
chr1	11500001	12000000	0.888353031037711
chr1	12000001	12500000	1.1312741323184023
chr1	14000001	14500000	1.1693380719661959
chr1	14500001	15000000	0.9765860664139661
chr1	15000001	15500000	0.90075102979618
chr1	15500001	16000000	0.6374963907194224
chr1	16000001	16500000	0.7845192769802583
chr1	17500001	18000000	0.9941374062349229
chr1	18000001	18500000	0.9905715411145921
chr1	18500001	19000000	0.8965641627474988
chr1	19000001	19500000	0.8773608741101182
chr1	19500001	20000000	0.9190175970524035
chr1	20000001	20500000	0.947561099604376
chr1	20500001	21000000	0.8924243359798326
chr1	21000001	21500000	0.6757547751736684
chr1	21500001	22000000	0.7008205384981714
chr1	22000001	22500000	0.9712724762297437
chr1	22500001	23000000	0.8638439950801948
chr1	23000001	23500000	0.8571416586929089
chr1	23500001	24000000	0.6647775428758451
chr1	24000001	24500000	0.9999682322451493
chr1	24500001	25000000	0.7904052736188242
chr1	25000001	25500000	0.8359336809130763
chr1	26000001	26500000	0.7538565767866787
chr1	26500001	27000000	0.7377062736047006
chr1	27000001	27500000	0.7172038495422998
chr1	27500001	28000000	0.8640382562582328
chr1	28000001	28500000	0.6959463395155806
chr1	28500001	29000000	0.7813564167775734
chr1	29000001	29500000	0.7034807183128186
chr1	29500001	30000000	0.9366701027800014
chr1	30000001	30500000	0.890826279817583
chr1	30500001	31000000	0.9614865712554624
chr1	31000001	31500000	0.8771103972344746
chr1	31500001	32000000	0.8672443607672594
chr1	32000001	32500000	0.7858955336915439
chr1	32500001	33000000	0.7801113826117165
chr1	33000001	33500000	0.9536248393843331
chr1	33500001	34000000	1.1304975119810037
chr1	34000001	34500000	1.139541802211572
chr1	34500001	35000000	1.0149887120465506
chr1	35000001	35500000	0.8704611055034409
chr1	35500001	36000000	0.9498227331426797
chr1	36000001	36500000	0.7845592736092397
chr1	36500001	37000000	0.996104103243937
chr1	37000001	37500000	0.9743981433099091
chr1	37500001	38000000	0.8008608172774044
chr1	38000001	38500000	0.970027878711808
chr1	38500001	39000000	0.9174404234534738
chr1	39000001	39500000	0.8522711979599941
chr1	39500001	40000000	0.8274030947285098
chr1	40000001	40500000	0.9245818277660605
chr1	40500001	41000000	0.9101180207453443
chr1	41000001	41500000	0.9442501712481168
chr1	41500001	42000000	1.159076785462135
chr1	42000001	42500000	1.104833004302337
chr1	42500001	43000000	0.9645563071448984
chr1	43000001	43500000	1.0088792673222509
chr1	43500001	44000000	0.8564116069719769
chr1	44000001	44500000	1.0687367112620378
chr1	44500001	45000000	0.7951254827010221
chr1	45000001	45500000	0.9100991193344803
