CHROM	START	END	Bias
chr1	1000001	1500000	0.29870417529703874
chr1	1500001	2000000	0.4107159068408203
chr1	2000001	2500000	0.46284002281878706
chr1	2500001	3000000	0.4357492419180801
chr1	3000001	3500000	0.5394332629516155
chr1	3500001	4000000	0.5240044790878677
chr1	4000001	4500000	0.9745062360096288
chr1	4500001	5000000	0.9467411059006288
chr1	5000001	5500000	1.1022332323518291
chr1	5500001	6000000	0.8934322085129035
chr1	6000001	6500000	0.5412661851538424
chr1	6500001	7000000	0.7940031971111545
chr1	7000001	7500000	1.023277351519548
chr1	7500001	8000000	0.7975463660494417
chr1	8000001	8500000	0.8891584967569693
chr1	8500001	9000000	0.9279700849517575
chr1	9000001	9500000	0.7178554404317057
chr1	9500001	10000000	0.6381629354717905
chr1	10000001	10500000	0.8484079380632826
chr1	10500001	11000000	0.7216246239618253
chr1	11000001	11500000	0.7903505932605892
chr1	11500001	12000000	0.7069320106358344
chr1	12000001	12500000	0.9133896396031105
chr1	13500001	14000000	0.9568314668011343
chr1	14000001	14500000	1.1823146913587468
chr1	14500001	15000000	1.0333409473220099
chr1	15000001	15500000	0.9113988697217575
chr1	15500001	16000000	0.7257492463816342
chr1	16000001	16500000	0.6388966255239329
chr1	17000001	17500000	0.8349833170552791
chr1	17500001	18000000	0.8385078662767633
chr1	18000001	18500000	1.0098081854244758
chr1	18500001	19000000	0.8499460024487521
chr1	19000001	19500000	0.9423672057681923
chr1	19500001	20000000	0.8847370454086972
chr1	20000001	20500000	1.012050250549229
chr1	20500001	21000000	0.8478424483654714
chr1	21000001	21500000	0.6980679689376369
chr1	21500001	22000000	0.7054088281679678
chr1	22000001	22500000	0.910523666592592
chr1	22500001	23000000	0.7963418133708549
chr1	23000001	23500000	0.8804966887739543
chr1	23500001	24000000	0.7999048462099957
chr1	24000001	24500000	0.9969997176791067
chr1	24500001	25000000	0.8059550758640156
chr1	25500001	26000000	0.7995886847003826
chr1	26000001	26500000	0.7800974626395648
chr1	26500001	27000000	0.7219999375973466
chr1	27000001	27500000	0.6993942346047233
chr1	27500001	28000000	0.763788675854352
chr1	28000001	28500000	0.816126324062159
chr1	28500001	29000000	0.734034020527715
chr1	29000001	29500000	0.8410624658493062
chr1	29500001	30000000	0.9905476296834101
chr1	30000001	30500000	0.8921230156335702
chr1	30500001	31000000	0.9241668057804578
chr1	31000001	31500000	0.8754817862270606
chr1	31500001	32000000	0.8579984649400116
chr1	32000001	32500000	0.7898846184096926
chr1	32500001	33000000	0.7359479452228151
chr1	33000001	33500000	0.9497643395430173
chr1	33500001	34000000	1.1220524839053494
chr1	34000001	34500000	1.1318640064117733
chr1	34500001	35000000	1.0283795449157858
chr1	35000001	35500000	0.8836765291707246
chr1	35500001	36000000	0.9563949091445744
chr1	36000001	36500000	0.7730365021376502
chr1	36500001	37000000	0.9855131143294179
chr1	37000001	37500000	0.9722623345780096
chr1	37500001	38000000	0.8004768489926526
chr1	38000001	38500000	0.9396039932652495
chr1	38500001	39000000	0.9101799212297281
chr1	39000001	39500000	0.8604355172449973
chr1	39500001	40000000	0.77804488830479
chr1	40000001	40500000	0.9461277342279011
chr1	40500001	41000000	0.9128246940736776
chr1	41000001	41500000	0.963501457893427
chr1	41500001	42000000	1.1076226091790888
chr1	42000001	42500000	1.1443027050633114
chr1	42500001	43000000	0.9559908161746898
chr1	43000001	43500000	1.0195031473596268
chr1	43500001	44000000	0.8481312543543252
chr1	44000001	44500000	1.0417076288980174
chr1	44500001	45000000	0.7683227416929511
chr1	45000001	45500000	0.9258008923334788
chr1	45500001	46000000	0.8970105486642811
chr1	46000001	46500000	0.8558922991445691
chr1	46500001	47000000	0.8048142169475316
chr1	47000001	47500000	0.8091799055200739
chr1	47500001	48000000	0.9408882608823242
chr1	48000001	48500000	0.9261372198292797
chr1	48500001	49000000	1.1905742861452737
chr1	49000001	49500000	1.0477050159504628
chr1	49500001	50000000	0.9242642513471442
chr1	50000001	50500000	1.113069291604784
chr1	50500001	51000000	0.9370810374795907
chr1	51000001	51500000	0.9746118857152428
chr1	51500001	52000000	0.976490256006875
chr1	52000001	52500000	0.8795904526430665
chr1	52500001	53000000	0.8559117755129702
chr1	53000001	53500000	0.9300930142688434
chr1	53500001	54000000	0.9404543329092693
